iter	Passed	Remaining
402	10259	5015
403	10279	4986
404	10298	4958
405	10318	4930
406	10337	4902
407	10357	4874
408	10378	4846
409	10398	4818
410	10417	4790
411	10434	4761
412	10455	4734
413	10475	4706
414	10493	4677
415	10513	4650
416	10532	4622
417	10551	4594
418	10571	4566
419	10589	4538
420	10610	4511
421	10630	4484
422	10651	4456
423	10672	4429
424	10692	4402
425	10711	4375
426	10731	4347
427	10748	4319
428	10768	4292
429	10788	4265
430	10806	4237
431	10825	4209
432	10845	4182
433	10864	4155
434	10885	4128
435	10904	4101
436	10923	4074
437	10943	4047
438	10961	4019
439	10981	3993
440	11001	3966
441	11020	3939
442	11040	3912
443	11060	3886
444	11080	3859
445	11101	3833
446	11121	3806
447	11141	3780
448	11160	3753
449	11181	3727
450	11199	3700
451	11219	3673
452	11238	3646
453	11257	3620
454	11277	3593
455	11297	3567
456	11317	3541
457	11336	3514
458	11356	3488
459	11374	3461
460	11393	3435
461	11411	3408
462	11431	3382
463	11452	3356
464	11472	3330
465	11492	3304
466	11512	3278
467	11533	3252
468	11553	3227
469	11571	3200
470	11591	3174
471	11612	3149
472	11632	3123
473	11651	3097
474	11671	3071
475	11689	3045
476	11711	3019
477	11731	2994
478	11752	2968
479	11771	2942
480	11790	2916
481	11809	2891
482	11828	2865
483	11847	2839
484	11866	2813
485	11885	2788
486	11905	2762
487	11927	2737
488	11947	2712
489	11967	2686
490	11986	2660
491	12009	2636
492	12029	2610
493	12048	2585
494	12067	2559
495	12086	2534
496	12106	2508
497	12126	2483
498	12145	2458
499	12163	2432
500	12182	2407
501	12201	2381
502	12220	2356
503	12240	2331
504	12261	2306
505	12281	2281
506	12300	2256
507	12322	2231
508	12343	2206
509	12363	2181
510	12382	2156
511	12400	2131
512	12422	2106
513	12441	2081
514	12461	2056
515	12480	2031
516	12498	2006
517	12519	1981
518	12537	1956
519	12558	1932
520	12576	1907
521	12595	1882
522	12616	1857
523	12635	1832
524	12654	1807
525	12673	1782
526	12692	1758
527	12712	1733
528	12731	1708
529	12750	1684
530	12768	1659
531	12787	1634
532	12805	1609
533	12823	1584
534	12841	1560
535	12860	1535
536	12880	1511
537	12898	1486
538	12919	1462
539	12939	1437
540	12956	1412
541	12975	1388
542	12994	1364
543	13014	1339
544	13032	1315
545	13051	1290
546	13070	1266
547	13089	1242
548	13109	1217
549	13131	1193
550	13150	1169
551	13168	1145
552	13188	1120
553	13207	1096
554	13226	1072
555	13245	1048
556	13264	1024
557	13284	999
558	13304	975
559	13324	951
560	13344	927
561	13363	903
562	13382	879
563	13400	855
564	13420	831
565	13441	807
566	13460	783
567	13480	759
568	13500	735
569	13519	711
570	13538	687
571	13559	663
572	13578	639
573	13597	615
574	13616	592
575	13630	567
576	13649	544
577	13669	520
578	13688	496
579	13707	472
580	13726	448
581	13744	425
582	13763	401
583	13781	377
584	13801	353
585	13820	330
586	13842	306
587	13861	282
588	13880	259
589	13897	235
590	13917	211
591	13938	188
592	13958	164
593	13979	141
594	13998	117
595	14017	94
596	14037	70
597	14058	47
598	14075	23
599	14095	0
