iter	RMSE
237	582.3538289
238	582.1336931
239	581.9011003
240	581.6962808
241	581.5290861
242	581.3087343
243	581.1130157
244	580.9232735
245	580.7736969
246	580.5710357
247	580.3798634
248	580.1906223
249	580.0034434
250	579.8223263
251	579.6647276
252	579.5150196
253	579.3493627
254	579.1942168
255	578.9993668
256	578.8426243
257	578.6879054
258	578.5353823
259	578.3567089
260	578.2051017
261	578.0837653
262	577.9607682
263	577.8090613
264	577.6561256
265	577.5318642
266	577.3818367
267	577.2489517
268	577.1044578
269	576.9753035
270	576.8665509
271	576.7378803
272	576.6299262
273	576.4945638
274	576.3933991
275	576.2347697
276	576.1016863
277	575.9857087
278	575.8653969
279	575.736774
280	575.6294075
281	575.5101459
282	575.4090333
283	575.3140134
284	575.2086229
285	575.092415
286	574.9619273
287	574.8532939
288	574.7638067
289	574.6377031
290	574.5165357
291	574.4214025
292	574.3237355
293	574.2074179
294	574.0999928
295	574.0179523
296	573.9135513
297	573.810184
298	573.7301518
299	573.656326
300	573.5477031
301	573.4747973
302	573.3901924
303	573.3067182
304	573.1782316
305	573.0892565
306	573.0142936
307	572.9392241
308	572.8612236
309	572.792942
310	572.724938
311	572.6556825
312	572.5829679
313	572.51245
314	572.4459368
315	572.3626644
316	572.2988146
317	572.2319444
318	572.1607139
319	572.0815935
320	572.00898
321	571.9147801
322	571.8431367
323	571.7640941
324	571.699598
325	571.6229797
326	571.5268197
327	571.4460149
328	571.3579199
329	571.2801034
330	571.2127771
331	571.1471141
332	571.0881634
333	571.017962
334	570.9368742
335	570.8915672
336	570.8306921
337	570.7816523
338	570.7319345
339	570.6503364
340	570.6005955
341	570.5311571
342	570.4824949
343	570.3965079
344	570.3430022
345	570.3015633
346	570.2232515
347	570.1522332
348	570.0986735
349	570.0127014
350	569.9453194
351	569.8968536
352	569.8316232
353	569.7609357
354	569.6791499
355	569.6214196
356	569.5737451
357	569.4692483
358	569.4264956
359	569.3711123
360	569.3017729
361	569.2376336
362	569.1998722
363	569.1614682
364	569.1136793
365	569.0597386
366	568.9782628
367	568.9129877
368	568.8610952
369	568.8187324
370	568.7418551
371	568.6783257
372	568.6097887
373	568.5478353
374	568.4981431
375	568.4586157
376	568.4086099
377	568.3561322
378	568.3105974
379	568.2571447
380	568.1841014
381	568.1454341
382	568.0875214
383	568.0227222
384	567.9355702
385	567.8773667
386	567.8296443
387	567.7362824
388	567.6905447
389	567.574334
390	567.5274045
391	567.464748
392	567.423879
393	567.3687045
394	567.3266096
395	567.2820387
396	567.234723
397	567.1768369
398	567.1417907
399	567.1069043
400	567.074834
401	567.0038371
402	566.928203
403	566.8758394
404	566.8289253
405	566.7784112
406	566.7294261
407	566.6747236
408	566.6288031
409	566.5920363
410	566.5447668
411	566.5070032
412	566.485386
413	566.4114915
414	566.3476263
415	566.3071486
416	566.2707205
417	566.2344893
418	566.1735627
419	566.1039392
420	566.0435554
421	566.0190566
422	565.9806573
423	565.9542103
424	565.9246534
425	565.8652912
426	565.7939071
427	565.7622645
428	565.7243977
429	565.6807999
430	565.6237022
431	565.5706876
432	565.5202248
433	565.4732707
434	565.4329061
435	565.3650503
436	565.3179217
437	565.2939794
438	565.23204
439	565.1775896
440	565.1336887
441	565.0720258
442	565.0308383
443	564.9688075
444	564.8618042
445	564.8268303
446	564.7819017
447	564.7302777
448	564.6798634
449	564.6560536
450	564.6353953
451	564.5985772
452	564.5436454
453	564.5052256
454	564.4725748
455	564.438353
456	564.4004085
457	564.3734192
458	564.3364379
459	564.2871842
460	564.2605444
461	564.1767783
462	564.1129269
463	564.0551522
464	564.0235664
465	563.9751418
466	563.9371745
467	563.910442
468	563.8640952
469	563.810706
470	563.7626544
471	563.7388062
472	563.6717753
473	563.6327495
474	563.589671
475	563.5516523
476	563.5155128
477	563.4515907
478	563.4140875
479	563.3691829
480	563.3377404
481	563.2878754
482	563.2449841
483	563.2124974
484	563.1539096
485	563.1101129
486	563.0798191
487	563.0417995
488	563.0100292
489	562.9597874
490	562.9231348
491	562.8854537
492	562.8594592
493	562.7912115
494	562.7609726
495	562.7232273
496	562.6676362
497	562.6457849
498	562.6010726
499	562.5753683
500	562.5455979
501	562.5087629
502	562.4779718
503	562.4575071
504	562.4152614
505	562.3935488
506	562.3719775
507	562.3573379
508	562.3240831
509	562.3090172
510	562.2678178
511	562.2220264
512	562.1793098
513	562.1250223
514	562.1004352
515	562.0526169
516	562.008435
517	561.9742686
518	561.9533129
519	561.9242815
520	561.8807619
521	561.8431515
522	561.8101834
523	561.7683505
524	561.7214252
525	561.7057551
526	561.6806011
527	561.6403599
528	561.5955367
529	561.5607162
530	561.5164291
531	561.497676
532	561.4655224
533	561.42919
534	561.4012161
535	561.3578602
536	561.3311697
537	561.2849736
538	561.2578391
539	561.2214772
540	561.1920146
541	561.1635683
542	561.1436125
543	561.1143929
544	561.0696115
545	561.0201964
546	560.9828211
547	560.9451277
548	560.8940632
549	560.8519731
550	560.7976677
551	560.748211
552	560.7130633
553	560.6782041
554	560.645528
555	560.5952379
556	560.5649801
557	560.5143495
558	560.5052804
559	560.4750459
560	560.4216227
561	560.3856141
562	560.3511222
563	560.3138701
564	560.2890864
565	560.2481183
566	560.2208143
567	560.1957324
568	560.1467695
569	560.1207245
570	560.0960792
571	560.0726608
572	560.0293542
573	559.9672329
574	559.9328958
575	559.9245804
576	559.8932921
577	559.8691415
578	559.8419942
579	559.8322476
580	559.8050864
581	559.7710982
582	559.7306025
583	559.6953115
584	559.6614101
585	559.6381868
586	559.6122742
587	559.5821882
588	559.5504499
589	559.5139869
590	559.4855954
591	559.4453229
592	559.3517766
593	559.3096822
594	559.2650064
595	559.1473765
596	559.1267168
597	559.1081346
598	559.0890529
599	559.0658129
