iter	Passed	Remaining
134	7043	19042
135	7093	18985
136	7288	19313
137	7394	19396
138	7452	19354
139	7510	19312
140	7567	19266
141	7623	19218
142	7677	19166
143	7727	19104
144	7776	19038
145	7826	18975
146	7875	18911
147	7921	18840
148	7969	18773
149	8014	18699
150	8059	18628
151	8108	18563
152	8156	18498
153	8207	18439
154	8258	18382
155	8308	18321
156	8354	18252
157	8473	18340
158	8644	18539
159	8775	18647
160	8833	18600
161	8889	18548
162	8946	18497
163	9000	18440
164	9054	18383
165	9106	18323
166	9157	18260
167	9226	18232
168	9276	18168
169	9325	18102
170	9377	18041
171	9435	17992
172	9499	17955
173	9549	17890
174	9597	17824
175	9644	17755
176	9691	17686
177	9739	17619
178	9785	17549
179	9834	17484
180	9884	17420
181	9934	17358
182	9982	17291
183	10028	17223
184	10074	17153
185	10120	17084
186	10167	17018
187	10214	16951
188	10260	16883
189	10308	16818
190	10352	16748
191	10400	16684
192	10444	16614
193	10491	16548
194	10539	16485
195	10587	16421
196	10632	16353
197	10679	16288
198	10727	16225
199	10776	16164
200	10824	16102
201	10870	16037
202	10919	15975
203	10965	15910
204	11014	15849
205	11061	15786
206	11107	15721
207	11151	15654
208	11200	15594
209	11250	15536
210	11296	15472
211	11343	15410
212	11390	15347
213	11438	15287
214	11484	15224
215	11532	15162
216	11577	15098
217	11621	15033
218	11669	14973
219	11719	14915
220	11766	14854
221	11816	14797
222	11866	14739
223	11916	14682
224	11964	14622
225	12012	14564
226	12061	14505
227	12109	14446
228	12157	14387
229	12204	14327
230	12252	14268
231	12301	14210
232	12349	14151
233	12397	14093
234	12444	14033
235	12491	13973
236	12539	13914
237	12587	13857
238	12636	13799
239	12684	13741
240	12732	13683
241	12779	13624
242	12827	13566
243	12877	13510
244	12926	13454
245	12976	13398
246	13026	13342
247	13075	13286
248	13122	13228
249	13171	13171
250	13221	13115
251	13267	13056
252	13316	13000
253	13365	12944
254	13415	12889
255	13460	12829
256	13507	12771
257	13553	12713
258	13602	12657
259	13649	12599
260	13698	12543
261	13746	12487
262	13795	12431
263	13905	12430
264	13960	12379
265	14010	12324
266	14059	12269
267	14111	12215
268	14161	12161
269	14209	12104
270	14255	12046
271	14303	11989
272	14352	11934
273	14402	11879
274	14450	11823
275	14499	11767
276	14548	11712
277	14598	11658
278	14648	11603
279	14696	11547
280	14743	11490
281	14792	11435
282	14841	11379
283	14891	11325
284	14937	11268
285	14984	11212
286	15034	11158
287	15083	11103
288	15135	11050
289	15185	10996
290	15237	10943
291	15291	10892
292	15340	10838
293	15391	10784
294	15438	10728
295	15485	10672
296	15531	10616
297	15578	10559
298	15629	10506
299	15808	10538
300	15874	10495
301	15932	10445
302	15987	10394
303	16037	10339
304	16088	10286
305	16137	10231
306	16188	10177
307	16234	10120
308	16282	10064
309	16330	10008
310	16376	9952
311	16426	9897
312	16475	9843
313	16521	9786
314	16569	9731
315	16616	9675
316	16665	9620
317	16714	9566
318	16760	9509
319	16809	9455
320	16857	9400
321	16904	9344
322	16949	9288
323	16998	9233
324	17044	9177
325	17093	9123
326	17141	9068
327	17189	9013
328	17238	8959
329	17287	8905
330	17337	8852
331	17387	8798
332	17433	8743
333	17505	8700
334	17554	8646
335	17604	8592
336	17653	8538
337	17705	8486
338	17754	8432
339	17803	8378
340	17853	8324
341	17902	8270
342	17949	8216
343	18079	8198
344	18222	8186
345	18280	8136
346	18334	8083
347	18385	8030
348	18433	7975
349	18483	7921
350	18532	7866
351	18579	7811
352	18627	7756
353	18677	7703
354	18729	7650
355	18782	7597
356	18830	7542
357	18877	7487
358	18924	7432
359	18971	7377
360	19022	7324
361	19069	7269
362	19115	7214
363	19163	7160
364	19210	7105
365	19258	7051
366	19308	6997
367	19356	6942
368	19405	6889
369	19452	6834
370	19501	6780
371	19550	6727
372	19599	6673
373	19648	6619
374	19696	6565
375	19744	6511
376	19793	6457
377	19842	6404
378	19891	6350
379	19943	6297
380	19992	6244
381	20040	6190
382	20087	6136
383	20132	6081
384	20179	6027
385	20227	5973
386	20275	5920
387	20325	5867
388	20373	5813
389	20420	5759
390	20469	5706
391	20517	5652
392	20567	5599
393	20616	5546
394	20662	5492
395	20710	5439
396	20757	5385
397	20807	5332
398	20857	5279
399	20904	5226
400	20961	5175
401	21016	5123
402	21065	5070
403	21113	5017
404	21160	4963
405	21208	4910
406	21255	4856
407	21305	4804
408	21351	4750
409	21400	4697
410	21447	4644
411	21497	4591
412	21546	4538
413	21592	4485
414	21640	4432
415	21687	4379
416	21738	4326
417	21785	4273
418	21834	4220
419	21892	4170
420	21952	4119
421	22009	4068
422	22064	4016
423	22117	3964
424	22167	3911
425	22214	3858
426	22263	3806
427	22312	3753
428	22361	3700
429	22412	3648
430	22459	3595
431	22509	3543
432	22557	3490
433	22604	3437
434	22653	3384
435	22699	3332
436	22765	3281
437	22819	3230
438	22872	3178
439	22924	3126
440	22975	3073
441	23025	3021
442	23078	2969
443	23129	2917
444	23181	2865
445	23230	2812
446	23278	2760
447	23328	2707
448	23377	2655
449	23427	2603
450	23473	2550
451	23523	2498
452	23570	2445
453	23618	2393
454	23664	2340
455	23711	2287
456	23760	2235
457	23809	2183
458	23860	2131
459	23908	2078
460	23957	2026
461	24007	1974
462	24060	1922
463	24108	1870
464	24159	1818
465	24209	1766
466	24260	1714
467	24309	1662
468	24357	1609
469	24407	1557
470	24458	1505
471	24508	1453
472	24558	1401
473	24606	1349
474	24655	1297
475	24705	1245
476	24756	1193
477	24805	1141
478	24855	1089
479	24906	1037
480	24957	985
481	25009	933
482	25059	882
483	25107	830
484	25156	778
485	25202	726
486	25253	674
487	25299	622
488	25348	570
489	25399	518
490	25448	466
491	25497	414
492	25547	362
493	25597	310
494	25643	259
495	25691	207
496	25750	155
497	25801	103
498	25851	51
499	25900	0
